cell,patient,predict
CD8+ Tem,SUB118155,63.03977871
CD8+ Tem,SUB118156,118.5557499
CD8+ Tem,SUB118157,580.1398544
CD8+ Tem,SUB118158,140.0015583
CD8+ Tem,SUB118161,93.75103283
CD8+ Tem,SUB118164,93.46802616
CD8+ Tem,SUB118167,86.15268898
CD8+ Tem,SUB118168,148.81777
CD8+ Tem,SUB118169,343.1427612
CD8+ Tem,SUB118170,147.7814827
CD8+ Tem,SUB118171,232.0943604
CD8+ Tem,SUB118174,167.8038588
CD8+ Tem,SUB118176,94.79753876
CD8+ Tem,SUB118183,190.4447088
Eosinophils,SUB118148,251.3879967
Eosinophils,SUB118151,243.5979996
Eosinophils,SUB118153,248.8020039
Eosinophils,SUB118155,79.58899879
Eosinophils,SUB118156,140.2249985
Eosinophils,SUB118157,184.460001
Eosinophils,SUB118158,411.6439972
Eosinophils,SUB118161,214.0599995
Eosinophils,SUB118164,174.8069973
Eosinophils,SUB118167,124.5130014
Eosinophils,SUB118168,131.2669964
Eosinophils,SUB118169,0
Eosinophils,SUB118170,159.5109978
Eosinophils,SUB118171,220.3590012
Eosinophils,SUB118174,894.4000111
Eosinophils,SUB118176,280.3600006
Eosinophils,SUB118183,372.0399933
granulocyte,SUB118148,9434.398018
granulocyte,SUB118151,22854.15833
granulocyte,SUB118153,15490.87868
granulocyte,SUB118155,10744.61522
granulocyte,SUB118156,14793.37827
granulocyte,SUB118157,18027.854
granulocyte,SUB118158,15805.44836
granulocyte,SUB118161,9854.285404
granulocyte,SUB118164,10202.51176
granulocyte,SUB118167,12939.49997
granulocyte,SUB118168,19108.547
granulocyte,SUB118169,925.4480362
granulocyte,SUB118170,11930.23154
granulocyte,SUB118171,21427.39099
granulocyte,SUB118174,19515.78149
granulocyte,SUB118176,11633.00037
granulocyte,SUB118183,8442.638367
T helper cells,SUB118148,973.8563156
T helper cells,SUB118151,861.4446716
T helper cells,SUB118153,500.7850742
T helper cells,SUB118155,870.613821
T helper cells,SUB118156,1381.091988
T helper cells,SUB118157,848.7208729
T helper cells,SUB118158,1354.649395
T helper cells,SUB118161,973.4728241
T helper cells,SUB118164,1110.981472
T helper cells,SUB118167,1102.64737
T helper cells,SUB118168,640.7548904
T helper cells,SUB118169,0
T helper cells,SUB118170,1303.604107
T helper cells,SUB118171,1190.996111
T helper cells,SUB118174,930.5003605
T helper cells,SUB118176,569.2386227
T helper cells,SUB118183,1226.849017
IgD- Memory B cells,SUB118148,86.25697082
IgD- Memory B cells,SUB118151,42.38681221
IgD- Memory B cells,SUB118153,100.6314561
