"","ES740463","ES740496","ES740562","ES740637","ES740640","ES740691","ES740706","ES740712","ES740724","ES740772","ES740790","ES740871"
"ABCA5",2.96913585275776,4.76839028705502,3.54719088256205,4.83059794868159,5.49842599727794,2.25763572758116,5.98767505743909,2.07001291358987,3.43629479325532,3.00305434809627,10.1347830861119,3.06227719566933
"ABCA6",0.371518203684579,0.107601604078286,0.267458197021612,0.282854325615908,0.241780532300137,0.123240860710073,0.108532493027477,0.231542641481528,0.322611659432965,0.292648682751912,0.0762227063299186,0.271289854307744
"ABCA7",38.2261837476026,29.9440666545043,44.7161552281508,58.9591632170641,51.3179447227958,36.9171609004793,43.4517119102598,26.5673783692905,60.7935463532083,43.0591152420881,108.692482496876,52.465539079948
"ABCA9",0.169224693111904,0.0437679134398089,0.226313241300023,0.267404616858308,0.12815408072113,0.0290033927183047,0.0722398268185921,0.165939780023548,0.204163055348289,0.115994402306875,0.0569466120091918,0.128493301127025
"ABCB1",15.68749620564,62.907092145455,12.4752090739915,16.9646618839737,20.8386533408203,17.0422526541047,31.3300950321286,15.5344004023695,15.216791983237,11.9934816322332,14.6916087254976,15.8549769042475
"ABCB10",33.3746409435543,39.4882330693887,37.0839804207085,38.5664120703761,37.2083927184586,43.1100775470143,34.5845873804858,35.6637326320394,41.8180278785085,33.0885175435315,33.544682000559,44.2666045748639
"ABCB11",0.0109964976643034,0.036567137383653,0.0165444806342466,0.00665478761332406,0.00599591665289684,0.011308127711816,0,0,0.00497506862028235,0,0.0066608713774588,0
"ABCB4",1.40518392513625,1.56974184670548,1.25526536944671,0.876954271435942,1.86159324014982,0.87490565611946,1.12673618084935,1.40874711353884,1.4949765755757,1.37704327707582,4.93405253964858,1.1346916203562
"ABCB6",2.49379651497703,3.25205146875945,3.25334523862303,2.90985542725352,4.01706832538882,1.90239967361594,2.37067973460832,2.17713404980191,2.87593375948829,2.68135379165479,5.71642892027623,2.72198431678541
"ABCB7",23.6768186580372,20.7747219689371,25.7946465721556,24.4744019796579,21.6718126218214,22.0057240429496,22.6134437750957,22.7406226336062,28.6367231414475,23.3924639605269,26.0775225441931,25.0349218981068
"ABCB8",10.7683168041902,12.3893895260392,12.4915406756461,11.8015487460757,11.9511026894562,10.7043644138094,11.8952969331327,10.0398120948368,11.1990521208786,10.9408464777437,18.6377331174638,12.3461747889448
"ABCB9",0.730866650400389,0.751402261529369,0.803496293015233,0.664417279898335,0.971042107938504,0.85660279822543,0.812789480276375,0.682084582301944,1.00209021734264,0.531596646852483,1.29525156849196,0.575247039625329
"ABCC1",72.6260107076392,68.86898357114,82.4540793199821,105.098829962135,92.3475489103261,80.596178782818,78.8268061923822,63.0928967119769,73.8874884543188,85.3506357018329,111.594958883604,74.8386110680226
"ABCC10",22.7542447746184,24.7544372330408,24.9167884295559,28.0484197697244,25.2027869025719,20.2004487965867,28.5013546979661,15.6690799719057,23.6931137371272,20.2995797930551,32.0964428270069,26.1670641474063
"ABCC11",0.0200349461518718,0.00666230877116266,0.045214547677369,0.0545607719838418,0.0327725802175694,0.0206027170378228,0.0384869640577976,0.0286725943252339,0.0226606768245828,0.0154494846855774,0.109221302182985,0.0427855837971674
"ABCC2",0.660344104668389,0.65516160028721,1.25952256380525,1.13335609972765,1.26315150607365,0.434151589456394,0.83181344546507,0.666174088148363,0.827697919423993,0.884855090916702,3.1802324867157,0.813752650444878
"ABCC3",13.8528994054871,26.5068238173796,7.87659522294743,10.1188243159362,13.422902398971,11.0697337973922,8.01971234366967,11.3816511774043,10.5188033654119,14.5334290625794,3.73589675000407,14.8256813677284
"ABCC4",10.3429776814308,18.609354806994,9.12669975820051,9.72213647441457,10.4428731152381,9.25602491008143,10.0045373046798,11.6784915466761,10.413001965839,9.613353667698,9.23077588938425,8.27247288308118
"ABCC5",11.4249474346058,14.9385910062276,17.2546073981997,14.9801172216817,13.0614621029046,14.2090032559717,16.4745052164247,12.2108505997397,17.1700321159218,14.0071023076071,14.4150399555282,14.9053359912726
"ABCC6",1.53594437748885,0.919764787518227,3.32666099762076,2.77002174370476,1.32129001752245,0.906151007120536,0.879955051465643,1.97335862793463,2.24803198047089,1.35900192985504,1.30473133167465,2.36793208969604
"ABCD1",48.6747397607045,23.5784090780678,52.6364655350569,41.4319413907125,33.6405586794289,40.1009475974268,32.4671584096007,39.210814641486,50.8719607823435,45.2913527776689,22.9902851806917,41.5617919234375
"ABCD2",11.208324475034,25.1257684332778,13.9004543153976,22.3160843749122,21.1435896357965,18.6759347268606,30.9585869717953,8.24869512767355,20.0944484828681,19.7267936463768,45.2775432236023,19.770890408579
"ABCD3",14.2357132125656,17.5423855387961,14.6399094168309,14.0778837140213,13.1070777195726,10.0006577593494,12.9441690367169,15.0412852778893,15.5335680402576,13.3263097361742,14.9500277860078,15.7673617854033
"ABCD4",11.5722731480927,16.0251196613834,15.9467381791715,16.7398527061911,16.1609207663773,12.7607126106413,14.1382134230356,11.0953781005498,15.5905334639603,10.8912529315998,24.7439501256219,14.5395311685496
"ABCE1",33.1877385350284,41.8617127344118,35.7845599707014,35.0624148979137,38.625179279567,36.6461901685844,38.7534707670876,26.8557999030669,41.1383006843494,32.4768004893207,47.362331485573,37.0057009005634
"ABCF1",79.639388878062,79.9787303337432,90.9704731895058,68.3908719016829,102.445697153242,50.7716259249804,79.3219741109376,77.7381504587686,69.9954144729797,87.082281542552,88.7642445974904,72.2042612795283
"ABCF2",34.4171136219681,43.821425065879,32.9123863055395,26.8752526908389,24.6538596723625,30.4366708862622,34.6113483092405,24.4177769992033,37.9212886487626,29.3577829329896,29.3506945340676,38.4690708386949
"ABCF3",31.3234137796225,37.6551273508438,35.192904262049,35.7626842147601,48.3817504392706,26.1709861097338,36.5481002222455,23.5506513687161,31.5936348726484,28.8888659068966,53.2834979515333,35.9845896977248
"ABCG1",10.4990637896057,6.83972144965995,16.4529467612391,14.8547829896364,11.9406020623781,9.40693603917594,14.5830203054291,6.10938457873264,30.2558907868703,9.95402902933126,16.0353323498204,13.8404981744594
"ABCG2",0.348317302399558,0.533813625151331,0.448101833720073,0.604882417855852,0.718402220101325,0.856537181598773,0.357415265977354,1.46656327716596,0.239805945053863,0.20242079202999,2.64189991628048,1.00904628760801
"ABCG4",0.0272309354774839,0,0.0341413010467054,0,0.0148478565164818,0,0.0149458283974362,0.0129903280019476,0.00615995095578211,0.00699950172803481,0,0
"ABCG5",0,0.0303349962274067,0,0,0.0373052394976606,0,0.0250342625657056,0,0.010317917850935,0.0117241653944583,0.0138141458809394,0
"ABCG8",0,0,0.00835973855278598,0.0201755325422125,0.0227225154617836,0.00857080315322335,0,0,0,0.00428469351285832,0.0100969884423017,0
"ABHD1",0.448926673274833,0.731184790276154,0.643257506589265,0.676423946575487,0.649417344170938,0.527598649742223,0.432449313176056,0.428314681989916,0.547139350056494,0.706488584244895,0.810230983893717,0.383481735415385
"ABHD10",31.8913422533427,40.6298478552233,27.4740984197111,27.4862961095863,22.2273148065771,33.6456224656982,32.8531262639371,20.3560543313559,37.8752828997879,20.0197291891598,35.8157981579619,40.9650741737825
"ABHD11",18.5872637436744,14.7651518989965,16.8960779520504,13.4578470345466,13.2975495897472,19.9715664375055,14.0159060063147,12.0052678542402,19.9710534717888,12.4992203125402,13.3803491112051,20.5158164043233
"ABHD12",36.2914866452051,34.1637481959885,40.3240779977441,40.4291422332165,42.0447290006186,45.062478667967,36.3652426537172,42.224312899595,38.0313061512643,37.0314006925351,37.5977933719221,36.243200918026
"ABHD12B",0.382153060721176,0.0991836396097148,0.579632419378831,0.428693492550696,0.193124904980199,0.335473213072195,0.184167679784624,0.435749720416021,0.548203150155151,0.421668071141493,0.158084095249247,0.517530698672461
"ABHD13",40.1595178604281,44.8793508274155,46.3587318898054,49.1480928322116,55.2785991544518,56.002172250002,44.0571922693605,45.3922219645987,60.6840385857365,45.1653777077266,45.6142940984714,49.0227700503102
"ABHD14A",14.2883140377546,27.0014633366809,11.5581541334757,14.4223072076447,15.0174767310011,19.3708513022022,22.4202981438954,9.20732106287913,15.6242260153503,12.2881874807182,15.7320930651492,14.978601359217
"ABHD14A-ACY1",5.13197607441065,10.1800959614318,4.52189162327002,6.23303817695182,5.66450404067398,7.80617085830232,9.10540456091784,3.85927338124148,6.63493479851053,5.05668350926201,6.04445047241609,6.70513184595681
"ABHD14B",113.273866623147,201.952190449034,119.228201831665,138.708637193999,128.912084742571,175.077801107044,195.049138682843,110.057535522626,148.442882033209,125.543446073374,188.3382454015,136.560859336919
"ABHD15",52.8172300657903,72.1608056305765,54.3532856399219,60.3838219346843,59.5054892385823,69.7412989935933,72.2991223465453,47.6801842456295,73.8305525892319,44.9253096439815,39.3067042298167,64.4075983582232
"ABHD16A",55.471790475533,58.5221043257776,60.8905839659582,54.465952647657,52.1505006571091,52.0035761801601,50.5558883804731,48.5277513313523,59.1768049444403,49.0508578210426,50.9961498259022,61.7219898708586
