cell,SUBJECT_ACCESSION,value
helper T cell,SUB122750,1693.959451
monocyte,SUB122750,1458.64003
myeloid dendritic cell,SUB122750,250.229487
NK cell,SUB122750,3602.912095
non-Th1/Th17  CD4+ T cell,SUB122750,384.5659167
plasmacytoid dendritic cell,SUB122750,36.66021343
T cell,SUB122750,4010.100037
T follicular helper cell,SUB122750,906.4437978
Th1 CD4+ T cell,SUB122750,395.791846
Th17 CD4+ T cell,SUB122750,705.7707708
CD4+ T cell,SUB122752,4324.95052
CD8+ T cell,SUB122752,4314.135382
cell,SUB122752,16991.40167
helper T cell,SUB122752,2469.176915
monocyte,SUB122752,1026.12001
myeloid dendritic cell,SUB122752,139.2519883
NK cell,SUB122752,1851.758786
non-Th1/Th17  CD4+ T cell,SUB122752,761.6863996
plasmacytoid dendritic cell,SUB122752,46.40541301
T cell,SUB122752,6952.5
T follicular helper cell,SUB122752,907.5158011
Th1 CD4+ T cell,SUB122752,690.7221767
Th17 CD4+ T cell,SUB122752,775.6417583
CD4+ T cell,SUB122753,5414.015162
CD8+ T cell,SUB122753,4404.939461
cell,SUB122753,21489.52343
helper T cell,SUB122753,3726.397414
monocyte,SUB122753,2143.529999
myeloid dendritic cell,SUB122753,328.7672331
NK cell,SUB122753,3212.062499
non-Th1/Th17  CD4+ T cell,SUB122753,786.429118
plasmacytoid dendritic cell,SUB122753,145.056595
T cell,SUB122753,7892.5
T follicular helper cell,SUB122753,1219.015373
Th1 CD4+ T cell,SUB122753,788.5192442
Th17 CD4+ T cell,SUB122753,1158.632583
CD4+ T cell,SUB122756,5463.050723
CD8+ T cell,SUB122756,6118.626742
cell,SUB122756,22441.79105
helper T cell,SUB122756,2140.513342
monocyte,SUB122756,2487.23996
myeloid dendritic cell,SUB122756,413.1526958
NK cell,SUB122756,3707.077852
non-Th1/Th17  CD4+ T cell,SUB122756,552.5726425
plasmacytoid dendritic cell,SUB122756,166.5687252
T cell,SUB122756,8869.699951
T follicular helper cell,SUB122756,694.8355338
Th1 CD4+ T cell,SUB122756,788.6831476
Th17 CD4+ T cell,SUB122756,444.1181294
CD4+ T cell,SUB133802,8574.417226
CD8+ T cell,SUB133802,5454.347544
cell,SUB133802,26257.72354
helper T cell,SUB133802,5580.386281
monocyte,SUB133802,2560.02002
myeloid dendritic cell,SUB133802,208.4600364
NK cell,SUB133802,1869.369226
non-Th1/Th17  CD4+ T cell,SUB133802,1082.619906
plasmacytoid dendritic cell,SUB133802,234.4758295
T cell,SUB133802,11298.30005
T follicular helper cell,SUB133802,903.6062962
Th1 CD4+ T cell,SUB133802,1442.564811
Th17 CD4+ T cell,SUB133802,863.5306271
CD4+ T cell,SUB133803,5559.695509
CD8+ T cell,SUB133803,7583.452066
cell,SUB133803,19848.86522
helper T cell,SUB133803,3410.646381
monocyte,SUB133803,1591.090012
myeloid dendritic cell,SUB133803,129.9292206
NK cell,SUB133803,3989.54751
non-Th1/Th17  CD4+ T cell,SUB133803,539.3996494
plasmacytoid dendritic cell,SUB133803,54.3641389
T cell,SUB133803,9740.700073
T follicular helper cell,SUB133803,1287.389307
Th1 CD4+ T cell,SUB133803,1571.899565
Th17 CD4+ T cell,SUB133803,704.0515707
CD4+ T cell,SUB133804,4614.318354
CD8+ T cell,SUB133804,5827.991177
cell,SUB133804,20583.76708
helper T cell,SUB133804,2161.525448
monocyte,SUB133804,2872.459961
myeloid dendritic cell,SUB133804,207.7887456
NK cell,SUB133804,3188.903061
non-Th1/Th17  CD4+ T cell,SUB133804,459.3748544
plasmacytoid dendritic cell,SUB133804,128.2072361
T cell,SUB133804,7820.099976
T follicular helper cell,SUB133804,989.2795596
Th1 CD4+ T cell,SUB133804,599.3710181
Th17 CD4+ T cell,SUB133804,680.3708276
CD4+ T cell,SUB133805,3738.251862
CD8+ T cell,SUB133805,3439.179356
cell,SUB133805,16533.50572
helper T cell,SUB133805,2610.071953
monocyte,SUB133805,3312.649994
myeloid dendritic cell,SUB133805,294.2691484
NK cell,SUB133805,4986.496593
non-Th1/Th17  CD4+ T cell,SUB133805,321.8402046
plasmacytoid dendritic cell,SUB133805,176.6834432
T cell,SUB133805,5646.699951
T follicular helper cell,SUB133805,733.352415
Th1 CD4+ T cell,SUB133805,642.2780746
Th17 CD4+ T cell,SUB133805,610.4825447
CD4+ T cell,SUB133806,4667.25209
CD8+ T cell,SUB133806,5647.517723
cell,SUB133806,23375.29233
helper T cell,SUB133806,3142.912213
monocyte,SUB133806,2477.849976
myeloid dendritic cell,SUB133806,306.4969627
NK cell,SUB133806,3743.943819
non-Th1/Th17  CD4+ T cell,SUB133806,508.6808049
plasmacytoid dendritic cell,SUB133806,81.89057202
T cell,SUB133806,7926.800049
T follicular helper cell,SUB133806,1080.504666
Th1 CD4+ T cell,SUB133806,790.7099546
Th17 CD4+ T cell,SUB133806,739.0222985
CD4+ T cell,SUB133807,5013.079778
CD8+ T cell,SUB133807,4170.749802
cell,SUB133807,20651.45163
helper T cell,SUB133807,2374.056951
monocyte,SUB133807,2627.279999
myeloid dendritic cell,SUB133807,538.1459485
NK cell,SUB133807,2941.270776
non-Th1/Th17  CD4+ T cell,SUB133807,564.2751031
plasmacytoid dendritic cell,SUB133807,257.1007107
T cell,SUB133807,7714.099976
T follicular helper cell,SUB133807,953.5582803
Th1 CD4+ T cell,SUB133807,786.2500061
Th17 CD4+ T cell,SUB133807,684.9994454
CD4+ T cell,SUB133808,6677.550123
CD8+ T cell,SUB133808,4477.864366
cell,SUB133808,24005.60322
helper T cell,SUB133808,5176.970904
monocyte,SUB133808,3037.150024
myeloid dendritic cell,SUB133808,248.0758333
NK cell,SUB133808,3698.732835
non-Th1/Th17  CD4+ T cell,SUB133808,681.0116894
plasmacytoid dendritic cell,SUB133808,143.1475249
T cell,SUB133808,9014.900024
T follicular helper cell,SUB133808,1919.292423
Th1 CD4+ T cell,SUB133808,1334.329857
Th17 CD4+ T cell,SUB133808,1358.153226
CD4+ T cell,SUB133809,4895.99614
CD8+ T cell,SUB133809,4419.117419
cell,SUB133809,16297.97933
helper T cell,SUB133809,3190.090083
monocyte,SUB133809,1821.519989
myeloid dendritic cell,SUB133809,234.6176533
NK cell,SUB133809,3144.764874
non-Th1/Th17  CD4+ T cell,SUB133809,611.3402897
plasmacytoid dendritic cell,SUB133809,126.5758561
T cell,SUB133809,7294.599854
T follicular helper cell,SUB133809,748.5601503
Th1 CD4+ T cell,SUB133809,964.8692511
Th17 CD4+ T cell,SUB133809,777.3956173
CD4+ T cell,SUB133810,6896.345792
CD8+ T cell,SUB133810,9176.438202
cell,SUB133810,29878.67593
helper T cell,SUB133810,3359.617145
monocyte,SUB133810,2639.309998
myeloid dendritic cell,SUB133810,330.616828
NK cell,SUB133810,2739.587302
non-Th1/Th17  CD4+ T cell,SUB133810,554.593151
plasmacytoid dendritic cell,SUB133810,168.3142322
T cell,SUB133810,12312.5
T follicular helper cell,SUB133810,810.4235091
Th1 CD4+ T cell,SUB133810,1506.298646
Th17 CD4+ T cell,SUB133810,673.6465098
CD4+ T cell,SUB133811,6221.676387
CD8+ T cell,SUB133811,4195.463628
cell,SUB133811,26376.30109
helper T cell,SUB133811,3124.962831
monocyte,SUB133811,3325.839935
myeloid dendritic cell,SUB133811,495.7009872
NK cell,SUB133811,6809.379621
non-Th1/Th17  CD4+ T cell,SUB133811,540.5343698
plasmacytoid dendritic cell,SUB133811,151.3160751
T cell,SUB133811,8690.199951
T follicular helper cell,SUB133811,1322.808238
Th1 CD4+ T cell,SUB133811,1053.61107
Th17 CD4+ T cell,SUB133811,963.5541455
CD4+ T cell,SUB133812,7846.350486
CD8+ T cell,SUB133812,6657.580365
cell,SUB133812,30402.62444
helper T cell,SUB133812,4245.093715
monocyte,SUB133812,1453.389999
myeloid dendritic cell,SUB133812,446.937941
NK cell,SUB133812,4534.377679
non-Th1/Th17  CD4+ T cell,SUB133812,745.9585084
plasmacytoid dendritic cell,SUB133812,186.4525105
T cell,SUB133812,11878.69995
T follicular helper cell,SUB133812,1654.511695
Th1 CD4+ T cell,SUB133812,1537.350045
Th17 CD4+ T cell,SUB133812,1251.896502
CD4+ T cell,SUB133813,6441.363915
CD8+ T cell,SUB133813,4728.525591
cell,SUB133813,24813.87889
helper T cell,SUB133813,4483.377429
monocyte,SUB133813,2844.209976
myeloid dendritic cell,SUB133813,366.5550853
NK cell,SUB133813,5340.534643
non-Th1/Th17  CD4+ T cell,SUB133813,800.0030423
plasmacytoid dendritic cell,SUB133813,109.5106866
